sheet,table_title,filename,type
Overview,"Australian Migration Statistics, 2024–25",Overview.csv,Documentation
Data Items and Terminology,Data Items and Terminology,Data Items and Terminology.csv,Documentation
1.0,"Table 1.0: Australia's Migration Program outcome, 1984–85 to 2024–25",1_0.csv,Data
1.1,"Table 1.1: Migration Program outcome by category, 2015–16 to 2024–25",1_1.csv,Data
1.2,"Table 1.2: Skill stream outcome by location, applicant type and gender, 2015–16 to 2024–25",1_2.csv,Data
1.3,"Table 1.3: Skill stream outcome—top 15 citizenship countries, Employer Sponsored visas, 2015–16 to 2024–25",1_3.csv,Data
1.4,"Table 1.4: Skill stream outcome primary applicants, Employer Sponsored visas by nominator industry, 2007–08 to 2024–25",1_4.csv,Data
1.5,"Table 1.5: Skill stream outcome primary applicants, Employer Sponsored visas—top 10 nominated occupations by ANZSCO Unit Group, 2015–16 to 2024–251",1_5.csv,Data
1.6,"Table 1.6: Skill stream outcome—top 15 citizenship countries, Regional visas, 2019–20 to 2024–251",1_6.csv,Data
1.7,"Table 1.7: Skill stream outcome primary applicants, Regional visas—top 10 nominated occupations by ANZSCO Unit Group, 2019–20 to 2024–251",1_7.csv,Data
1.8,"Table 1.8: Skill stream outcome—top 15 citizenship countries, State/Territory Nominated visas, 2015–16 to 2024–25",1_8.csv,Other
1.9,"Table 1.9: Skill stream outcome primary applicants, State/Territory Nominated visas—top 10 nominated occupations by ANZSCO Unit Group, 2015–16 to 2024–251",1_9.csv,Other
1.10,"Table 1.10: Skill stream outcome—top 15 citizenship countries, Skilled Independent visas, 2015–16 to 2024–25",1_10.csv,Other
1.11,"Table 1.11: Skill stream outcome primary applicants, Skilled Independent visas—top 10 nominated occupations by ANZSCO Unit Group, 2015–16 to 2024–251",1_11.csv,Other
1.12,"Table 1.12: Skill stream outcome—top 15 citizenship countries, Skilled Regional visas, 2009–10 to 2018–191",1_12.csv,Other
1.13,"Table 1.13: Skill stream outcome primary applicants, Skilled Regional visas—top 10 nominated occupations by ANZSCO Unit Group, 2009–10 to 2018–191",1_13.csv,Other
1.14,"Table 1.14: Skill stream outcome—top 15 citizenship countries, Business Innovation and Investment visas, 2015–16 to 2024–251",1_14.csv,Other
1.15,"Table 1.15: Skill stream outcome—top 15 citizenship countries, Global Talent (Independent) visas, 2019–20 to 2024–251",1_15.csv,Other
1.16,"Table 1.16: Family stream outcome—top 15 citizenship countries, Partner visas, 2015–16 to 2024–25",1_16.csv,Other
1.17,"Table 1.17: All other Family stream outcome and Child outcome visas—top 15 citizenship countries, Parent, Other Family and Child visas, 2015–16 to 2024–251",1_17.csv,Other
1.18,"Table 1.18: Permanent migration places granted to former international students in Australia, 2015–16 to 2024–25",1_18.csv,Other
2.0,"Table 2.0: Temporary visas granted by visa category, 2001–02 to 2024–25",2_0.csv,Other
2.1,"Table 2.1: Primary Temporary Resident (Skilled Employment) visas granted as a proportion by location and last visa held, 2015–16 to 2024–25",2_1.csv,Other
2.2,"Table 2.2: Intra-company transfer Temporary Resident (Skilled Employment) visas granted by applicant type, 2015–16 to 2024–25",2_2.csv,Other
2.3,"Table 2.3: Temporary Resident (Other Employment) visas granted by visa type—top 15, 2015–16 to 2024–251",2_3.csv,Other
2.4,"Table 2.4: Visitor visas granted—top 15 citizenship countries, 2015–16 to 2024–25",2_4.csv,Other
3.0,"Table 3.0: Humanitarian Program visas granted by component and visa category, 2015–16 to 2024–25",3_0.csv,Other
3.1,"Table 3.1: Offshore humanitarian visas granted—top 10 countries of birth/citizenship and gender female, 2020–21 to 2024–251",3_1.csv,Other
3.2,"Table 3.2: Offshore humanitarian visas granted by age group, and gender female, 2020–21 to 2024–25",3_2.csv,Other
3.3,"Table 3.3: Final Permanent Protection visas granted—top 10 countries of citizenship, 2023–24 and 2024–25",3_3.csv,Other
3.4,"Table 3.4: Temporary protection visas granted by type, 2023–24 and 2024–251",3_4.csv,Other
4.0,"Table 4.0: Visa cancellations by visa category, 2023–24 to 2024–25",4_0.csv,Other
4.1,"Table 4.1: Visa cancellations—top 10 countries of citizenship, 2022–23 to 2024–25",4_1.csv,Other
4.2,"Table 4.2: Departures by departure type, 2022–23 to 2024–25",4_2.csv,Other
4.3,"Table 4.3: Departures by arrival visa category, 2022–23 to 2024–25",4_3.csv,Other
4.4,"Table 4.4: Departures—top 10 countries of citizenship, 2022–23 to 2024–251",4_4.csv,Other
5.0,"Table 5.0: Net Overseas Migration arrivals ('000s of persons) by category, for the year ending December 2015 to 20241",5_0.csv,Other
5.1,"Table 5.1: Net Overseas Migration departures ('000s of persons) by category, for the year ending December 2015 to 20241",5_1.csv,Other
6.0,"Table 6.0: Australian citizenship conferrals—top 15 countries of original citizenship and gender female, 2024–251",6_0.csv,Other
7.0,Table 7.0: Employment growth by Australian-born and overseas-born,7_0.csv,Other
7.1,7.1,7_1.csv,Other
7.2,Table 7.2: Decomposition of changes in Australia’s labour force participation rate between 2004–05 and 2024–25,7_2.csv,Other
7.3,Table 7.3: Decomposition of changes in Australia’s labour force participation rate between 2004–05 and 2012–13,7_3.csv,Other
7.4,Table 7.4: Decomposition of changes in Australia’s labour force participation rate between 2013–14 and 2021–22,7_4.csv,Other
7.5,Table 7.5: Decomposition of changes in Australia’s labour force participation rate between 2021–22 and 2024–25,7_5.csv,Other
7.6,Table 7.6: Decomposition of changes in Australia’s labour force participation rate between 2016–17 and 2018–19,7_6.csv,Other
7.7,Table 7.7: Decomposition of changes in Australia’s labour force participation rate between 2018–19 and 2020–21,7_7.csv,Other
7.8,Table 7.8: Decomposition of changes in Australia’s labour force participation rate between 2019–20 and 2024–25,7_8.csv,Other
