Year,variable,value,sheet
2015–16,India,13343,1.10
2016–17,India,13781,1.10
2017–18,India,12161,1.10
2018–19,India,11741,1.10
2019–20,India,3225,1.10
2020–21,India,1140,1.10
2021–22,India,699,1.10
2022–23,India,5074,1.10
2023–24,India,9631,1.10
2024–25,India,5058,1.10
2015–16,People's Republic of China1,5509,1.10
2016–17,People's Republic of China1,5991,1.10
2017–18,People's Republic of China1,5067,1.10
2018–19,People's Republic of China1,4160,1.10
2019–20,People's Republic of China1,1367,1.10
2020–21,People's Republic of China1,941,1.10
2021–22,People's Republic of China1,381,1.10
2022–23,People's Republic of China1,2351,1.10
2023–24,People's Republic of China1,2769,1.10
2024–25,People's Republic of China1,2488,1.10
2015–16,United Kingdom,3947,1.10
2016–17,United Kingdom,3074,1.10
2017–18,United Kingdom,2320,1.10
2018–19,United Kingdom,1811,1.10
2019–20,United Kingdom,425,1.10
2020–21,United Kingdom,212,1.10
2021–22,United Kingdom,134,1.10
2022–23,United Kingdom,1076,1.10
2023–24,United Kingdom,1257,1.10
2024–25,United Kingdom,1084,1.10
2015–16,Nepal,1272,1.10
2016–17,Nepal,1032,1.10
2017–18,Nepal,843,1.10
2018–19,Nepal,1089,1.10
2019–20,Nepal,427,1.10
2020–21,Nepal,270,1.10
2021–22,Nepal,55,1.10
2022–23,Nepal,2763,1.10
2023–24,Nepal,4090,1.10
2024–25,Nepal,999,1.10
2015–16,Pakistan,2991,1.10
2016–17,Pakistan,2844,1.10
2017–18,Pakistan,2422,1.10
2018–19,Pakistan,1353,1.10
2019–20,Pakistan,451,1.10
2020–21,Pakistan,231,1.10
2021–22,Pakistan,117,1.10
2022–23,Pakistan,583,1.10
2023–24,Pakistan,1025,1.10
2024–25,Pakistan,757,1.10
2015–16,Philippines,2402,1.10
2016–17,Philippines,2596,1.10
2017–18,Philippines,1910,1.10
2018–19,Philippines,1515,1.10
2019–20,Philippines,439,1.10
2020–21,Philippines,160,1.10
2021–22,Philippines,80,1.10
2022–23,Philippines,1738,1.10
2023–24,Philippines,1695,1.10
2024–25,Philippines,673,1.10
2015–16,Sri Lanka,833,1.10
2016–17,Sri Lanka,658,1.10
2017–18,Sri Lanka,517,1.10
2018–19,Sri Lanka,510,1.10
2019–20,Sri Lanka,189,1.10
2020–21,Sri Lanka,110,1.10
2021–22,Sri Lanka,25,1.10
2022–23,Sri Lanka,616,1.10
2023–24,Sri Lanka,806,1.10
2024–25,Sri Lanka,501,1.10
2015–16,Hong Kong (SAR of the PRC)2,403,1.10
2016–17,Hong Kong (SAR of the PRC)2,373,1.10
2017–18,Hong Kong (SAR of the PRC)2,337,1.10
2018–19,Hong Kong (SAR of the PRC)2,137,1.10
2019–20,Hong Kong (SAR of the PRC)2,31,1.10
2020–21,Hong Kong (SAR of the PRC)2,41,1.10
2021–22,Hong Kong (SAR of the PRC)2,52,1.10
2022–23,Hong Kong (SAR of the PRC)2,699,1.10
2023–24,Hong Kong (SAR of the PRC)2,788,1.10
2024–25,Hong Kong (SAR of the PRC)2,478,1.10
2015–16,Ireland,918,1.10
2016–17,Ireland,553,1.10
2017–18,Ireland,381,1.10
2018–19,Ireland,241,1.10
2019–20,Ireland,84,1.10
2020–21,Ireland,46,1.10
2021–22,Ireland,34,1.10
2022–23,Ireland,273,1.10
2023–24,Ireland,413,1.10
2024–25,Ireland,412,1.10
2015–16,Malaysia,1371,1.10
2016–17,Malaysia,1121,1.10
2017–18,Malaysia,785,1.10
2018–19,Malaysia,473,1.10
2019–20,Malaysia,156,1.10
2020–21,Malaysia,123,1.10
2021–22,Malaysia,62,1.10
2022–23,Malaysia,500,1.10
2023–24,Malaysia,663,1.10
2024–25,Malaysia,386,1.10
2015–16,Iran,970,1.10
2016–17,Iran,1019,1.10
2017–18,Iran,743,1.10
2018–19,Iran,678,1.10
2019–20,Iran,204,1.10
2020–21,Iran,82,1.10
2021–22,Iran,54,1.10
2022–23,Iran,847,1.10
2023–24,Iran,840,1.10
2024–25,Iran,352,1.10
2015–16,Vietnam,568,1.10
2016–17,Vietnam,375,1.10
2017–18,Vietnam,514,1.10
2018–19,Vietnam,425,1.10
2019–20,Vietnam,156,1.10
2020–21,Vietnam,82,1.10
2021–22,Vietnam,27,1.10
2022–23,Vietnam,473,1.10
2023–24,Vietnam,471,1.10
2024–25,Vietnam,330,1.10
2015–16,South Africa,1511,1.10
2016–17,South Africa,1828,1.10
2017–18,South Africa,1312,1.10
2018–19,South Africa,852,1.10
2019–20,South Africa,236,1.10
2020–21,South Africa,44,1.10
2021–22,South Africa,60,1.10
2022–23,South Africa,718,1.10
2023–24,South Africa,899,1.10
2024–25,South Africa,326,1.10
2015–16,Brazil,207,1.10
2016–17,Brazil,218,1.10
2017–18,Brazil,162,1.10
2018–19,Brazil,158,1.10
2019–20,Brazil,36,1.10
2020–21,Brazil,27,1.10
2021–22,Brazil,23,1.10
2022–23,Brazil,115,1.10
2023–24,Brazil,192,1.10
2024–25,Brazil,280,1.10
2015–16,Singapore,661,1.10
2016–17,Singapore,553,1.10
2017–18,Singapore,437,1.10
2018–19,Singapore,256,1.10
2019–20,Singapore,90,1.10
2020–21,Singapore,54,1.10
2021–22,Singapore,42,1.10
2022–23,Singapore,388,1.10
2023–24,Singapore,421,1.10
2024–25,Singapore,266,1.10
2015–16,Other3,7088,1.10
2016–17,Other3,6406,1.10
2017–18,Other3,9226,1.10
2018–19,Other3,8848,1.10
2019–20,Other3,5470,1.10
2020–21,Other3,3650,1.10
2021–22,Other3,4019,1.10
2022–23,Other3,13886,1.10
2023–24,Other3,4415,1.10
2024–25,Other3,2510,1.10
2015–16,Total,43994,1.10
2016–17,Total,42422,1.10
2017–18,Total,39137,1.10
2018–19,Total,34247,1.10
2019–20,Total,12986,1.10
2020–21,Total,7213,1.10
2021–22,Total,5864,1.10
2022–23,Total,32100,1.10
2023–24,Total,30375,1.10
2024–25,Total,16900,1.10
